channel_title,comment_count,concurrent_viewers,fetched_at,like_count,published_at,title,video_id,view_count,fetched_date,fetched_hours,engagement_rate
News18 India,0,804,2026-06-12T16:09:13.000Z,276,2026-06-12T05:56:30.000Z,Breaking News : Tmc के बागी सांसद Nda में शामिल? | Mamata Banerjee | Bengal Politics | Indi Alliance,kQk1i7lSkfY,43984,2026-06-12,16,0.01
News18 India,0,711,2026-06-12T16:39:21.000Z,296,2026-06-12T05:56:30.000Z,Breaking News : Tmc के बागी सांसद Nda में शामिल? | Mamata Banerjee | Bengal Politics | Indi Alliance,kQk1i7lSkfY,49642,2026-06-12,16,0.01
